Name,YearFirstAppeared,TypeChecking,Memory,ScopeSyntax,Semicolons,Tags
Python,1991,DYNAMIC,GC,INDENTATION,OPTIONAL,Web;Data-Science;Scripting;AI
JavaScript,1995,DYNAMIC,GC,BRACES,OPTIONAL,Web;Frontend;Backend;Mobile
Java,1995,STATIC,GC,BRACES,REQUIRED,Enterprise;Android;JVM;Backend
C++,1985,STATIC,MANUAL,BRACES,REQUIRED,Systems;Game-dev;Embedded;HPC
C,1972,STATIC,MANUAL,BRACES,REQUIRED,Systems;Embedded;Kernel;OS
Rust,2015,STATIC,OWNERSHIP,BRACES,REQUIRED,Systems;Embedded;WebAssembly;Kernel
Go,2009,STATIC,GC,BRACES,OPTIONAL,Backend;Systems;Cloud
Swift,2014,STATIC,REFERENCE_COUNTED,BRACES,OPTIONAL,iOS;Mobile;Apple
Kotlin,2011,STATIC,GC,BRACES,OPTIONAL,Android;Mobile;JVM
TypeScript,2012,GRADUAL,GC,BRACES,OPTIONAL,Web;Frontend;Backend
PHP,1995,DYNAMIC,GC,BRACES,REQUIRED,Web;Backend;CMS
Ruby,1995,DYNAMIC,GC,KEYWORDS,OPTIONAL,Web;Backend;Scripting
C#,2000,STATIC,GC,BRACES,REQUIRED,Enterprise;Game-dev;.NET;Unity
Haskell,1990,STATIC,GC,MIXED,OPTIONAL,Research;Finance;Functional
Scala,2004,STATIC,GC,MIXED,OPTIONAL,Big-Data;Data-Science;JVM
Erlang,1986,DYNAMIC,GC,KEYWORDS,NONE,Telecom;Distributed;Fault-tolerant
Elixir,2012,DYNAMIC,GC,KEYWORDS,OPTIONAL,Web;Distributed;Backend;Realtime
Lua,1993,DYNAMIC,GC,KEYWORDS,OPTIONAL,Game-dev;Embedded;Modding
Perl,1987,DYNAMIC,GC,BRACES,REQUIRED,Systems;Text-processing;Scripting
R,1993,DYNAMIC,GC,BRACES,OPTIONAL,Data-Science;Scientific;Statistics
Julia,2012,DYNAMIC,GC,KEYWORDS,OPTIONAL,Scientific;Data-Science;Numerical
Dart,2011,STATIC,GC,BRACES,REQUIRED,Mobile;Cross-platform;Web
Zig,2015,STATIC,MANUAL,BRACES,REQUIRED,Systems;Embedded;OS;Kernel
F#,2005,STATIC,GC,INDENTATION,OPTIONAL,.NET;Data-Science;Research
Objective-C,1984,STATIC,REFERENCE_COUNTED,BRACES,REQUIRED,iOS;Apple;Mobile
Pascal,1970,STATIC,MANUAL,KEYWORDS,REQUIRED,Education;Legacy
COBOL,1960,STATIC,MANUAL,KEYWORDS,NONE,Banking;Enterprise;Mainframe
Ada,1980,STATIC,MANUAL,KEYWORDS,REQUIRED,Military;Embedded;Safety-critical
MATLAB,1984,DYNAMIC,GC,KEYWORDS,OPTIONAL,Scientific;Numerical;Engineering;Data-Science
PowerShell,2006,DYNAMIC,GC,BRACES,OPTIONAL,Scripting;Windows;Automation
Groovy,2003,GRADUAL,GC,BRACES,OPTIONAL,JVM;Build;Scripting;Enterprise
Raku,2015,GRADUAL,GC,BRACES,OPTIONAL,Text-processing;Scripting;Research
OCaml,1996,STATIC,GC,KEYWORDS,NONE,Research;Functional;Compiler
Crystal,2014,STATIC,GC,KEYWORDS,OPTIONAL,Systems;Web;Backend
D,2001,STATIC,GC,BRACES,REQUIRED,Systems;Game-dev;HPC
Vala,2006,STATIC,REFERENCE_COUNTED,BRACES,REQUIRED,Linux;Desktop;GNOME
